robot_wr,robot_wl,robot_wr_ref,robot_wl_ref,robot_counter,encoder_right,encoder_left
2.05173,1.91608,1.6,1.6,55671,1141,1113
2.05173,1.91608,1.6,1.6,64565,1147,1118
2.0536,1.90765,1.6,1.6,7923,1153,1123
2.03678,1.90398,1.6,1.6,16817,1158,1129
2.02148,1.90064,1.6,1.6,25711,1164,1134
2.0255,1.89484,1.6,1.6,43499,1175,1144
2.01121,1.89233,1.6,1.6,52393,1181,1149
2.017,1.88796,1.6,1.6,4646,1192,1159
2.05543,1.85374,1.6,1.6,22434,1204,1170
2.03845,1.85493,1.6,1.6,31328,1209,1175
2.05663,1.85601,1.6,1.6,40222,1215,1180
2.03954,1.857,1.6,1.6,49116,1220,1185
2.02399,1.85789,1.6,1.6,58010,1226,1190
1.99697,1.82581,1.6,1.6,10263,1237,1200
1.98525,1.82952,1.6,1.6,19157,1242,1205
1.99551,1.83596,1.6,1.6,36945,1253,1215
1.98392,1.80511,1.6,1.6,45839,1258,1220
1.97338,1.81068,1.6,1.6,54733,1264,1225
1.96379,1.81575,1.6,1.6,63627,1269,1230
1.92144,1.82038,1.6,1.6,6985,1274,1235
1.91651,1.79092,1.6,1.6,15880,1280,1240
1.91205,1.79777,1.6,1.6,24774,1285,1245
1.90429,1.80967,1.6,1.6,42562,1296,1255
1.90092,1.81483,1.6,1.6,51456,1301,1260
1.89509,1.82382,1.6,1.6,3708,1312,1270
1.89256,1.79406,1.6,1.6,12602,1317,1274
1.85661,1.80063,1.6,1.6,21496,1322,1280
1.89116,1.77295,1.6,1.6,30391,1328,1284
1.88898,1.78142,1.6,1.6,39285,1333,1290
1.88699,1.75548,1.6,1.6,48179,1338,1294
1.88519,1.76552,1.6,1.6,57073,1343,1299
1.88206,1.78299,1.6,1.6,9325,1354,1309
1.8807,1.75692,1.6,1.6,18219,1359,1313
1.84771,1.74522,1.6,1.6,36008,1370,1323
1.84944,1.72255,1.6,1.6,44902,1375,1328
1.85102,1.73556,1.6,1.6,53796,1380,1333
1.85245,1.74739,1.6,1.6,62690,1385,1338
1.82013,1.72454,1.6,1.6,6048,1390,1342
1.82819,1.74904,1.6,1.6,23836,1401,1352
1.83168,1.72603,1.6,1.6,32730,1406,1356
1.83773,1.71662,1.6,1.6,50519,1416,1365
1.84036,1.69652,1.6,1.6,59413,1421,1370
1.84278,1.71189,1.6,1.6,2771,1426,1375
1.84495,1.72586,1.6,1.6,11665,1431,1380
1.8151,1.71953,1.6,1.6,29453,1441,1389
1.78613,1.69917,1.6,1.6,38347,1446,1393
1.73577,1.69438,1.6,1.6,56136,1456,1402
1.71394,1.67629,1.6,1.6,65030,1461,1407
1.6941,1.69349,1.6,1.6,8388,1466,1412
1.70968,1.67547,1.6,1.6,17282,1471,1416
1.72385,1.69272,1.6,1.6,26176,1476,1421
1.7031,1.67478,1.6,1.6,35070,1481,1425
1.71786,1.65845,1.6,1.6,43964,1486,1430
1.74351,1.66372,1.6,1.6,61752,1496,1439
1.75463,1.64839,1.6,1.6,5111,1501,1443
1.74032,1.65236,1.6,1.6,22899,1510,1452
1.71809,1.63805,1.6,1.6,31793,1515,1456
1.7315,1.62503,1.6,1.6,40687,1520,1461
1.7437,1.61318,1.6,1.6,49581,1525,1466
1.75481,1.60241,1.6,1.6,58475,1530,1470
1.76493,1.59261,1.6,1.6,1833,1535,1474
1.7741,1.58367,1.6,1.6,10728,1540,1479
1.75947,1.60181,1.6,1.6,28516,1549,1488
1.76915,1.59206,1.6,1.6,37410,1554,1492
1.75234,1.57511,1.6,1.6,55198,1563,1501
1.72902,1.6014,1.6,1.6,64092,1568,1506
1.70782,1.5917,1.6,1.6,7450,1573,1510
1.72216,1.58286,1.6,1.6,16344,1578,1514
1.73518,1.5748,1.6,1.6,25239,1583,1519
1.74706,1.56748,1.6,1.6,34133,1588,1523
1.72422,1.56082,1.6,1.6,43027,1592,1528
1.74878,1.54924,1.6,1.6,60815,1602,1536
1.7258,1.57789,1.6,1.6,4173,1606,1541
1.71948,1.59702,1.6,1.6,21961,1616,1550
1.73274,1.58768,1.6,1.6,30856,1621,1554
1.71119,1.5792,1.6,1.6,39750,1625,1558
1.69158,1.57148,1.6,1.6,48644,1630,1562
1.67374,1.56446,1.6,1.6,57538,1634,1567
1.64275,1.55227,1.6,1.6,9790,1644,1575
1.64769,1.54217,1.6,1.6,27578,1653,1584
1.64769,1.54217,1.6,1.6,36472,1658,1588
1.6854,1.53379,1.6,1.6,45367,1663,1592
1.66811,1.53017,1.6,1.6,54261,1667,1596
1.65239,1.52687,1.6,1.6,63155,1672,1601
1.65871,1.52115,1.6,1.6,15407,1681,1609
1.67747,1.51866,1.6,1.6,24301,1686,1613
1.67947,1.51434,1.6,1.6,42089,1695,1622
1.6627,1.51245,1.6,1.6,50984,1699,1626
1.64746,1.51075,1.6,1.6,59878,1704,1630
1.63361,1.50922,1.6,1.6,3236,1708,1634
1.62099,1.50781,1.6,1.6,12130,1713,1638
1.64315,1.50652,1.6,1.6,21024,1718,1643
1.62967,1.50535,1.6,1.6,29918,1722,1647
1.60625,1.50332,1.6,1.6,47706,1731,1655
1.62974,1.4688,1.6,1.6,56600,1736,1659
1.63995,1.47306,1.6,1.6,8853,1745,1668
1.62676,1.47491,1.6,1.6,17747,1749,1672
1.6484,1.47659,1.6,1.6,26641,1754,1676
1.63445,1.47812,1.6,1.6,35535,1758,1680
1.62176,1.47951,1.6,1.6,44429,1762,1684
1.61021,1.48078,1.6,1.6,53323,1767,1688
1.63334,1.48193,1.6,1.6,62217,1772,1692
1.62074,1.48297,1.6,1.6,5576,1776,1697
1.62947,1.45419,1.6,1.6,23364,1785,1705
1.63972,1.46096,1.6,1.6,41152,1794,1713
1.62655,1.43026,1.6,1.6,50046,1798,1716
1.61457,1.40232,1.6,1.6,58940,1802,1720
1.60368,1.37691,1.6,1.6,2298,1807,1724
1.59376,1.38742,1.6,1.6,11192,1811,1729
1.5765,1.40567,1.6,1.6,28981,1820,1737
1.56903,1.41359,1.6,1.6,37875,1824,1741
1.58968,1.42735,1.6,1.6,55663,1833,1749
1.57316,1.43876,1.6,1.6,7915,1841,1757
1.56599,1.41005,1.6,1.6,16809,1845,1760
1.55945,1.38392,1.6,1.6,25704,1849,1764
1.55351,1.36016,1.6,1.6,34598,1854,1768
1.54811,1.33854,1.6,1.6,43492,1858,1772
1.53872,1.36521,1.6,1.6,61280,1866,1781
1.53467,1.34315,1.6,1.6,4638,1870,1784
1.52759,1.30478,1.6,1.6,22426,1879,1792
1.52453,1.28814,1.6,1.6,31320,1883,1796
1.52172,1.30664,1.6,1.6,40215,1887,1800
1.51918,1.32348,1.6,1.6,49109,1891,1804
1.51479,1.35276,1.6,1.6,1361,7,1812
1.51288,1.36544,1.6,1.6,10255,11,1816
1.4453,1.38749,1.6,1.6,28043,18,1824
1.41601,1.3634,1.6,1.6,36937,22,1827
1.38934,1.37512,1.6,1.6,45832,26,1831
1.36509,1.38579,1.6,1.6,54726,30,1835
1.37666,1.3955,1.6,1.6,63620,34,1839
1.38721,1.3707,1.6,1.6,6978,38,1842
1.39679,1.34813,1.6,1.6,15872,42,1846
1.41344,1.37315,1.6,1.6,33660,50,1854
1.42066,1.384,1.6,1.6,42554,54,1858
1.36894,1.3692,1.6,1.6,60343,61,1865
1.34654,1.34677,1.6,1.6,3701,65,1869
1.32614,1.36,1.6,1.6,12595,69,1873
1.30759,1.37203,1.6,1.6,21489,73,1877
1.2907,1.34934,1.6,1.6,30383,77,1880
1.27534,1.32869,1.6,1.6,39277,81,1884
1.295,1.34355,1.6,1.6,48171,85,1888
1.32916,1.36936,1.6,1.6,424,93,4
1.34398,1.38055,1.6,1.6,9318,97,8
1.36971,1.36938,1.6,1.6,27106,105,15
1.38087,1.34693,1.6,1.6,36000,109,18
1.39102,1.3265,1.6,1.6,44894,113,22
1.40026,1.34155,1.6,1.6,53788,117,26
1.40867,1.32161,1.6,1.6,62682,121,29
1.41633,1.30347,1.6,1.6,14935,129,37
1.37112,1.3167,1.6,1.6,32723,136,44
1.38215,1.33264,1.6,1.6,41617,140,48
1.40132,1.36033,1.6,1.6,59405,148,56
1.376,1.37235,1.6,1.6,2763,152,60
1.35295,1.34963,1.6,1.6,11657,156,63
1.33197,1.36258,1.6,1.6,20552,160,67
1.34652,1.37438,1.6,1.6,29446,164,71
1.37182,1.36428,1.6,1.6,47234,172,78
1.39277,1.35288,1.6,1.6,65022,180,85
